Name,PowerLevel,MainMaster,Village
Stormheart,100,,Tesla
Merlin,95,Stormheart,Hill Village
Astrid,93,Stormheart,Capital City
Eldrin,89,Merlin,Forest Village
Luna,85,Eldrin,Island Village
Aurelia,92,Astrid,Capital City
Rohan,87,Aurelia,Mountain Village
Cyrus,90,Stormheart,Desert Village
Elena,80,Cyrus,Desert Village
Galen,88,Astrid,Coast Village
Luther,88,Astrid,Cliff Village
Nadia,76,Eldrin,Forest Village
Orion,81,Eldrin,Forest Village
Selene,87,Eldrin,Forest Village
Thalia,86,Eldrin,Forest Village
Nova,84,Cyrus,Desert Village
Kieran,82,Cyrus,Desert Village
Rowan,79,Cyrus,Valley Village
Xander,78,Cyrus,Desert Village
Elysia,91,Aurelia,Mountain Village
Silas,77,Galen,Coast Village
Raine,85,Selene,River Village
Archer,75,Rowan,Valley Village
Sylvia,84,Elysia,Mountain Village
Seraphina,85,Thalia,Hill Village
Isolde,79,Luther,Cliff Village
Vesper,74,Luna,Island Village
Kai,97,Stormheart,Storm Village
Lucius,83,Raine,Coast Village
Vivian,87,Luther,Cliff Village
Ophelia,82,Merlin,Hill Village
Felix,82,Sylvia,Valley Village
Albert,79,Felix,Valley Village
Ideafix,90,Kai,Storm Village
Ethan,80,Raine,River Village
